ALPHA 0.9
Number of Patterns : 1000
Execution time size 1 pattern: 116s
99.99% of extensions found (9999 elements)
93.28% of extensions found (9328 elements)
73.62% of extensions found (7362 elements)
50.71% of extensions found (5071 elements)
30.53% of extensions found (3053 elements)
37.53% of extensions found (3753 elements)
43.29% of extensions found (4329 elements)
39.81% of extensions found (3981 elements)
39.99% of extensions found (3999 elements)
100% of extensions found (10000 elements)
92.04% of extensions found (9204 elements)
68.07% of extensions found (6807 elements)
50.86% of extensions found (5086 elements)
43.28% of extensions found (4328 elements)
38.29% of extensions found (3829 elements)
35.59% of extensions found (3559 elements)
44.74% of extensions found (4474 elements)
99.97% of extensions found (9997 elements)
89.95% of extensions found (8995 elements)
69.42% of extensions found (6942 elements)
56.46% of extensions found (5646 elements)
53.88% of extensions found (5388 elements)
27.43% of extensions found (2743 elements)
47.05% of extensions found (4705 elements)
100% of extensions found (10000 elements)
90.57% of extensions found (9057 elements)
60.03% of extensions found (6003 elements)
58.29% of extensions found (5829 elements)
49.48% of extensions found (4948 elements)
42.31% of extensions found (4231 elements)
99.99% of extensions found (9999 elements)
94.49% of extensions found (9449 elements)
63.59% of extensions found (6359 elements)
44.46% of extensions found (4446 elements)
39.01% of extensions found (3901 elements)
99.99% of extensions found (9999 elements)
90.84% of extensions found (9084 elements)
49.96% of extensions found (4996 elements)
40.26% of extensions found (4026 elements)
99.97% of extensions found (9997 elements)
83.33% of extensions found (8333 elements)
58.71% of extensions found (5871 elements)
99.92% of extensions found (9992 elements)
89.23% of extensions found (8923 elements)
99.95% of extensions found (9995 elements)
Execution time extension : 74s
Execution time : 191s

ALPHA 0.8
Number of Patterns : 1000
Execution time size 1 pattern: 116s
99.98% of extensions found (9998 elements)
91.97% of extensions found (9197 elements)
67.67% of extensions found (6767 elements)
45.05% of extensions found (4505 elements)
32.13% of extensions found (3213 elements)
56.43% of extensions found (5643 elements)
21.47% of extensions found (2147 elements)
42.85% of extensions found (4285 elements)
32.81% of extensions found (3281 elements)
100% of extensions found (10000 elements)
93% of extensions found (9300 elements)
57.6% of extensions found (5760 elements)
31.11% of extensions found (3111 elements)
64.57% of extensions found (6457 elements)
29.83% of extensions found (2983 elements)
38.48% of extensions found (3848 elements)
35.86% of extensions found (3586 elements)
100% of extensions found (10000 elements)
90.72% of extensions found (9072 elements)
62.26% of extensions found (6226 elements)
37.85% of extensions found (3785 elements)
41.47% of extensions found (4147 elements)
24.31% of extensions found (2431 elements)
48.49% of extensions found (4849 elements)
99.99% of extensions found (9999 elements)
94.36% of extensions found (9436 elements)
60.97% of extensions found (6097 elements)
44.57% of extensions found (4457 elements)
39.45% of extensions found (3945 elements)
44.91% of extensions found (4491 elements)
100% of extensions found (10000 elements)
96.12% of extensions found (9612 elements)
55.14% of extensions found (5514 elements)
37.56% of extensions found (3756 elements)
47.65% of extensions found (4765 elements)
99.99% of extensions found (9999 elements)
93.25% of extensions found (9325 elements)
57.07% of extensions found (5707 elements)
48.53% of extensions found (4853 elements)
99.96% of extensions found (9996 elements)
88.62% of extensions found (8862 elements)
66.08% of extensions found (6608 elements)
99.92% of extensions found (9992 elements)
83.87% of extensions found (8387 elements)
99.96% of extensions found (9996 elements)
Execution time extension : 72s
Execution time : 188s

ALPHA 0.7
Number of Patterns : 1000
Execution time size 1 pattern: 117s
100% of extensions found (10000 elements)
91.72% of extensions found (9172 elements)
71.24% of extensions found (7124 elements)
49.81% of extensions found (4981 elements)
52.96% of extensions found (5296 elements)
42.82% of extensions found (4282 elements)
39.19% of extensions found (3919 elements)
32.53% of extensions found (3253 elements)
35% of extensions found (3500 elements)
100% of extensions found (10000 elements)
91.13% of extensions found (9113 elements)
57.77% of extensions found (5777 elements)
44.63% of extensions found (4463 elements)
52.15% of extensions found (5215 elements)
47.01% of extensions found (4701 elements)
39.01% of extensions found (3901 elements)
37.71% of extensions found (3771 elements)
99.99% of extensions found (9999 elements)
91.06% of extensions found (9106 elements)
59.78% of extensions found (5978 elements)
50.04% of extensions found (5004 elements)
50.53% of extensions found (5053 elements)
33.45% of extensions found (3345 elements)
47.3% of extensions found (4730 elements)
100% of extensions found (10000 elements)
94.28% of extensions found (9428 elements)
73.5% of extensions found (7350 elements)
57.7% of extensions found (5770 elements)
40.09% of extensions found (4009 elements)
50.49% of extensions found (5049 elements)
99.99% of extensions found (9999 elements)
94.73% of extensions found (9473 elements)
58.38% of extensions found (5838 elements)
25.61% of extensions found (2561 elements)
30.79% of extensions found (3079 elements)
99.99% of extensions found (9999 elements)
90.59% of extensions found (9059 elements)
