NODES 200
Number of Patterns : 1000
Execution time size 1 pattern: 6s
97.53% of extensions found (9753 elements)
84.23% of extensions found (8423 elements)
80.12% of extensions found (8012 elements)
67.04% of extensions found (6704 elements)
71.63% of extensions found (7163 elements)
56.11% of extensions found (5611 elements)
58.26% of extensions found (5826 elements)
71.47% of extensions found (7147 elements)
61.81% of extensions found (6181 elements)
97.59% of extensions found (9759 elements)
75.34% of extensions found (7534 elements)
51.6% of extensions found (5160 elements)
59.52% of extensions found (5952 elements)
56.49% of extensions found (5649 elements)
69.22% of extensions found (6922 elements)
70.68% of extensions found (7068 elements)
60.24% of extensions found (6024 elements)
99.16% of extensions found (9916 elements)
75.09% of extensions found (7509 elements)
69.78% of extensions found (6978 elements)
61.02% of extensions found (6102 elements)
55.78% of extensions found (5578 elements)
68.23% of extensions found (6823 elements)
77.85% of extensions found (7785 elements)
93.98% of extensions found (9398 elements)
77.62% of extensions found (7762 elements)
52.47% of extensions found (5247 elements)
55.22% of extensions found (5522 elements)
63.71% of extensions found (6371 elements)
70.62% of extensions found (7062 elements)
91.81% of extensions found (9181 elements)
69.56% of extensions found (6956 elements)
55.65% of extensions found (5565 elements)
76.46% of extensions found (7646 elements)
68.73% of extensions found (6873 elements)
94.87% of extensions found (9487 elements)
84.05% of extensions found (8405 elements)
68.9% of extensions found (6890 elements)
82.93% of extensions found (8293 elements)
97.33% of extensions found (9733 elements)
93.86% of extensions found (9386 elements)
73.35% of extensions found (7335 elements)
99.3% of extensions found (9930 elements)
82.28% of extensions found (8228 elements)
97.99% of extensions found (9799 elements)
Execution time extension : 78s
Execution time : 85s

NODES 500
Number of Patterns : 1000
Execution time size 1 pattern: 33s
99.57% of extensions found (9957 elements)
82.52% of extensions found (8252 elements)
64.48% of extensions found (6448 elements)
50.25% of extensions found (5025 elements)
55.79% of extensions found (5579 elements)
56.61% of extensions found (5661 elements)
48.31% of extensions found (4831 elements)
54.87% of extensions found (5487 elements)
56.47% of extensions found (5647 elements)
98.57% of extensions found (9857 elements)
83.56% of extensions found (8356 elements)
53.86% of extensions found (5386 elements)
66.15% of extensions found (6615 elements)
59.04% of extensions found (5904 elements)
46.05% of extensions found (4605 elements)
57.58% of extensions found (5758 elements)
43.91% of extensions found (4391 elements)
99.7% of extensions found (9970 elements)
90.28% of extensions found (9028 elements)
65.23% of extensions found (6523 elements)
49.73% of extensions found (4973 elements)
51.83% of extensions found (5183 elements)
64.75% of extensions found (6475 elements)
31.19% of extensions found (3119 elements)
99.86% of extensions found (9986 elements)
91.49% of extensions found (9149 elements)
77.8% of extensions found (7780 elements)
57.01% of extensions found (5701 elements)
49.07% of extensions found (4907 elements)
53.31% of extensions found (5331 elements)
99.94% of extensions found (9994 elements)
92.78% of extensions found (9278 elements)
63.96% of extensions found (6396 elements)
65.56% of extensions found (6556 elements)
56.26% of extensions found (5626 elements)
99.89% of extensions found (9989 elements)
90.58% of extensions found (9058 elements)
68.96% of extensions found (6896 elements)
66.46% of extensions found (6646 elements)
99.67% of extensions found (9967 elements)
84.13% of extensions found (8413 elements)
74.98% of extensions found (7498 elements)
99.51% of extensions found (9951 elements)
87.97% of extensions found (8797 elements)
99.87% of extensions found (9987 elements)
Execution time extension : 71s
Execution time : 105s

NODES 1000
Number of Patterns : 1000
Execution time size 1 pattern: 123s
100% of extensions found (10000 elements)
92.07% of extensions found (9207 elements)
54.01% of extensions found (5401 elements)
41.43% of extensions found (4143 elements)
35.4% of extensions found (3540 elements)
46.4% of extensions found (4640 elements)
44.55% of extensions found (4455 elements)
42.49% of extensions found (4249 elements)
38.64% of extensions found (3864 elements)
100% of extensions found (10000 elements)
94.04% of extensions found (9404 elements)
68.33% of extensions found (6833 elements)
46.32% of extensions found (4632 elements)
46.42% of extensions found (4642 elements)
46.92% of extensions found (4692 elements)
23.82% of extensions found (2382 elements)
38.04% of extensions found (3804 elements)
99.99% of extensions found (9999 elements)
92.4% of extensions found (9240 elements)
65.57% of extensions found (6557 elements)
48.97% of extensions found (4897 elements)
50.21% of extensions found (5021 elements)
29.68% of extensions found (2968 elements)
50.89% of extensions found (5089 elements)
100% of extensions found (10000 elements)
94.51% of extensions found (9451 elements)
65.15% of extensions found (6515 elements)
48.69% of extensions found (4869 elements)
44.89% of extensions found (4489 elements)
35.64% of extensions found (3564 elements)
100% of extensions found (10000 elements)
92.99% of extensions found (9299 elements)
55.03% of extensions found (5503 elements)
41.69% of extensions found (4169 elements)
53.69% of extensions found (5369 elements)
99.99% of extensions found (9999 elements)
90.42% of extensions found (9042 elements)
40.9% of extensions found (4090 elements)
38.35% of extensions found (3835 elements)
99.94% of extensions found (9994 elements)
89.22% of extensions found (8922 elements)
55.62% of extensions found (5562 elements)
99.79% of extensions found (9979 elements)
87.1% of extensions found (8710 elements)
99.96% of extensions found (9996 elements)
Execution time extension : 75s
Execution time : 199s

NODES 1500
Number of Patterns : 1000
Execution time size 1 pattern: 261s
100% of extensions found (10000 elements)
95.36% of extensions found (9536 elements)
67.16% of extensions found (6716 elements)
47.82% of extensions found (4782 elements)
45.08% of extensions found (4508 elements)
43.59% of extensions found (4359 elements)
51.14% of extensions found (5114 elements)
39.26% of extensions found (3926 elements)
45% of extensions found (4500 elements)
100% of extensions found (10000 elements)
97.07% of extensions found (9707 elements)
74.48% of extensions found (7448 elements)
47.11% of extensions found (4711 elements)
41.25% of extensions found (4125 elements)
41.8% of extensions found (4180 elements)
44.11% of extensions found (4411 elements)
38.65% of extensions found (3865 elements)
100% of extensions found (10000 elements)
97.61% of extensions found (9761 elements)
69.43% of extensions found (6943 elements)
45.26% of extensions found (4526 elements)
50.74% of extensions found (5074 elements)
34.82% of extensions found (3482 elements)
56.96% of extensions found (5696 elements)
100% of extensions found (10000 elements)
96.24% of extensions found (9624 elements)
79.65% of extensions found (7965 elements)
62.46% of extensions found (6246 elements)
46.34% of extensions found (4634 elements)
46.87% of extensions found (4687 elements)
100% of extensions found (10000 elements)
95.63% of extensions found (9563 elements)
65.82% of extensions found (6582 elements)
45.01% of extensions found (4501 elements)
66.42% of extensions found (6642 elements)
99.99% of extensions found (9999 elements)
94.94% of extensions found (9494 elements)
66.47% of extensions found (6647 elements)
54.66% of extensions found (5466 elements)
100% of extensions found (10000 elements)
95.41% of extensions found (9541 elements)
77.1% of extensions found (7710 elements)
100% of extensions found (10000 elements)
95.08% of extensions found (9508 elements)
100% of extensions found (10000 elements)
Execution time extension : 95s
Execution time : 357s

NODES 2000
Number of Patterns : 1000
Execution time size 1 pattern: 476s
100% of extensions found (10000 elements)
98.22% of extensions found (9822 elements)
82.64% of extensions found (8264 elements)
48.7% of extensions found (4870 elements)
26.36% of extensions found (2636 elements)
35.58% of extensions found (3558 elements)
42.33% of extensions found (4233 elements)
44.58% of extensions found (4458 elements)
29.42% of extensions found (2942 elements)
100% of extensions found (10000 elements)
97.78% of extensions found (9778 elements)
66.5% of extensions found (6650 elements)
49.39% of extensions found (4939 elements)
32.75% of extensions found (3275 elements)
32.31% of extensions found (3231 elements)
45.88% of extensions found (4588 elements)
25.95% of extensions found (2595 elements)
100% of extensions found (10000 elements)
96.61% of extensions found (9661 elements)
73.88% of extensions found (7388 elements)
47.87% of extensions found (4787 elements)
58.38% of extensions found (5838 elements)
35.52% of extensions found (3552 elements)
36.2% of extensions found (3620 elements)
100% of extensions found (10000 elements)
98.44% of extensions found (9844 elements)
78.76% of extensions found (7876 elements)
54.52% of extensions found (5452 elements)
36.76% of extensions found (3676 elements)
35.08% of extensions found (3508 elements)
100% of extensions found (10000 elements)
97.05% of extensions found (9705 elements)
61.39% of extensions found (6139 elements)
42.91% of extensions found (4291 elements)
37.44% of extensions found (3744 elements)
100% of extensions found (10000 elements)
95.54% of extensions found (9554 elements)
48.71% of extensions found (4871 elements)
26.08% of extensions found (2608 elements)
100% of extensions found (10000 elements)
98.15% of extensions found (9815 elements)
64.42% of extensions found (6442 elements)
100% of extensions found (10000 elements)
98.19% of extensions found (9819 elements)
100% of extensions found (10000 elements)
Execution time extension : 107s
Execution time : 583s

NODES 3000
Number of Patterns : 1000
Execution time size 1 pattern: 1051s
100% of extensions found (10000 elements)
98.44% of extensions found (9844 elements)
77.06% of extensions found (7706 elements)
40.68% of extensions found (4068 elements)
50.94% of extensions found (5094 elements)
21.81% of extensions found (2181 elements)
41.63% of extensions found (4163 elements)
40.37% of extensions found (4037 elements)
60.02% of extensions found (6002 elements)
100% of extensions found (10000 elements)
99.79% of extensions found (9979 elements)
89.41% of extensions found (8941 elements)
53.47% of extensions found (5347 elements)
38.58% of extensions found (3858 elements)
58.61% of extensions found (5861 elements)
36.61% of extensions found (3661 elements)
34.71% of extensions found (3471 elements)
100% of extensions found (10000 elements)
99.84% of extensions found (9984 elements)
84.75% of extensions found (8475 elements)
50.52% of extensions found (5052 elements)
49.68% of extensions found (4968 elements)
47.46% of extensions found (4746 elements)
44.07% of extensions found (4407 elements)
100% of extensions found (10000 elements)
99.62% of extensions found (9962 elements)
85.28% of extensions found (8528 elements)
56.55% of extensions found (5655 elements)
36.87% of extensions found (3687 elements)
28.65% of extensions found (2865 elements)
100% of extensions found (10000 elements)
99.28% of extensions found (9928 elements)
73.21% of extensions found (7321 elements)
41.23% of extensions found (4123 elements)
44.82% of extensions found (4482 elements)
100% of extensions found (10000 elements)
99.44% of extensions found (9944 elements)
81.89% of extensions found (8189 elements)
47.57% of extensions found (4757 elements)
100% of extensions found (10000 elements)
99.83% of extensions found (9983 elements)
84.16% of extensions found (8416 elements)
100% of extensions found (10000 elements)
99.82% of extensions found (9982 elements)
100% of extensions found (10000 elements)
Execution time extension : 153s
Execution time : 1205s

NODES 4000
Number of Patterns : 1000
Execution time size 1 pattern: 1892s
100% of extensions found (10000 elements)
99.57% of extensions found (9957 elements)
73.94% of extensions found (7394 elements)
46.81% of extensions found (4681 elements)
43.22% of extensions found (4322 elements)
25.63% of extensions found (2563 elements)
44.02% of extensions found (4402 elements)
32.27% of extensions found (3227 elements)
35.64% of extensions found (3564 elements)
100% of extensions found (10000 elements)
99.86% of extensions found (9986 elements)
78.91% of extensions found (7891 elements)
38.7% of extensions found (3870 elements)
14.47% of extensions found (1447 elements)
19.56% of extensions found (1956 elements)
18.01% of extensions found (1801 elements)
33.19% of extensions found (3319 elements)
100% of extensions found (10000 elements)
99.75% of extensions found (9975 elements)
87.54% of extensions found (8754 elements)
47.79% of extensions found (4779 elements)
42.47% of extensions found (4247 elements)
46.19% of extensions found (4619 elements)
34.18% of extensions found (3418 elements)
100% of extensions found (10000 elements)
99.78% of extensions found (9978 elements)
80.77% of extensions found (8077 elements)
46.44% of extensions found (4644 elements)
29.83% of extensions found (2983 elements)
33.73% of extensions found (3373 elements)
100% of extensions found (10000 elements)
99.79% of extensions found (9979 elements)
82.85% of extensions found (8285 elements)
46.23% of extensions found (4623 elements)
41.7% of extensions found (4170 elements)
100% of extensions found (10000 elements)
99.69% of extensions found (9969 elements)
79.59% of extensions found (7959 elements)
51.09% of extensions found (5109 elements)
100% of extensions found (10000 elements)
99.77% of extensions found (9977 elements)
84.79% of extensions found (8479 elements)
100% of extensions found (10000 elements)
99.68% of extensions found (9968 elements)
100% of extensions found (10000 elements)
Execution time extension : 193s
Execution time : 2086s
