THRESHOLD 10
Execution time size 1 pattern: 24s
-nan% of extensions found (0 elements)
-nan% of extensions found (0 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
84% of extensions found (84 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
Execution time : 24s

THRESHOLD 20
Execution time size 1 pattern: 24s
0% of extensions found (0 elements)
0% of extensions found (0 elements)
26.5% of extensions found (106 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
28% of extensions found (28 elements)
0% of extensions found (0 elements)
1% of extensions found (4 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
10% of extensions found (40 elements)
0% of extensions found (0 elements)
90% of extensions found (360 elements)
Execution time : 24s

THRESHOLD 50
Execution time size 1 pattern: 24s
65.16% of extensions found (1629 elements)
0% of extensions found (0 elements)
13.6% of extensions found (340 elements)
21.32% of extensions found (533 elements)
0% of extensions found (0 elements)
17.36% of extensions found (434 elements)
2% of extensions found (26 elements)
0% of extensions found (0 elements)
2.84615% of extensions found (37 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
2% of extensions found (50 elements)
42% of extensions found (1050 elements)
0% of extensions found (0 elements)
5.76% of extensions found (144 elements)
0% of extensions found (0 elements)
0% of extensions found (0 elements)
82.88% of extensions found (2072 elements)
Execution time : 25s

THRESHOLD 100
Execution time size 1 pattern: 26s
31.11% of extensions found (3111 elements)
1% of extensions found (100 elements)
0% of extensions found (0 elements)
7.25% of extensions found (725 elements)
31.04% of extensions found (3104 elements)
0% of extensions found (0 elements)
16% of extensions found (1600 elements)
1.38776% of extensions found (136 elements)
0% of extensions found (0 elements)
1.38776% of extensions found (136 elements)
0% of extensions found (0 elements)
11.6327% of extensions found (1140 elements)
9.86% of extensions found (986 elements)
64.09% of extensions found (6409 elements)
38.93% of extensions found (3893 elements)
0% of extensions found (0 elements)
6.54% of extensions found (654 elements)
55.63% of extensions found (5563 elements)
40.46% of extensions found (4046 elements)
0.42% of extensions found (42 elements)
11.3% of extensions found (1130 elements)
40.44% of extensions found (4044 elements)
2.88% of extensions found (288 elements)
38.51% of extensions found (3851 elements)
0.9% of extensions found (90 elements)
34.36% of extensions found (3436 elements)
Execution time : 33s

THRESHOLD 250
Execution time size 1 pattern: 26s
29.0912% of extensions found (18182 elements)
7.6656% of extensions found (4791 elements)
7.5632% of extensions found (4727 elements)
2.48% of extensions found (1550 elements)
0.3472% of extensions found (217 elements)
0.109721% of extensions found (45 elements)
76.6667% of extensions found (8625 elements)
48.0736% of extensions found (30046 elements)
16.1408% of extensions found (10088 elements)
12.0432% of extensions found (7527 elements)
10.16% of extensions found (6350 elements)
1.1712% of extensions found (732 elements)
0.2384% of extensions found (149 elements)
0.10653% of extensions found (30 elements)
76.6667% of extensions found (5750 elements)
51.6688% of extensions found (32293 elements)
15.7712% of extensions found (9857 elements)
11.1648% of extensions found (6978 elements)
0.608% of extensions found (380 elements)
0.0848% of extensions found (53 elements)
0.299491% of extensions found (30 elements)
76.6667% of extensions found (5750 elements)
52.176% of extensions found (32610 elements)
16.8944% of extensions found (10559 elements)
1.84% of extensions found (1150 elements)
0.0032% of extensions found (2 elements)
0% of extensions found (0 elements)
0.0912% of extensions found (57 elements)
0.426993% of extensions found (46 elements)
50% of extensions found (5750 elements)
48.7472% of extensions found (30467 elements)
15.8656% of extensions found (9916 elements)
9.50053% of extensions found (4489 elements)
66.1952% of extensions found (41372 elements)
49.0464% of extensions found (30654 elements)
15.76% of extensions found (9850 elements)
16.8889% of extensions found (7980 elements)
50.0848% of extensions found (31303 elements)
15.7728% of extensions found (9858 elements)
46.088% of extensions found (28805 elements)
15.7616% of extensions found (9851 elements)
22.5408% of extensions found (14088 elements)
Execution time : 134s

THRESHOLD 500
Execution time size 1 pattern: 27s
21.1753% of extensions found (41927 elements)
3.2736% of extensions found (8184 elements)
